Date,Open,High,Low,Close
03/11/2024,430.86,431.08,422.53,424.6
03/12/2024,418.49,430.58,418.04,427.51
03/13/2024,416.12,418.96,413.75,418.78
03/14/2024,417.14,419.65,416.26,418.16
03/15/2024,422.36,422.5,415.59,416.72
03/18/2024,415.17,416.36,410.48,416.12
03/19/2024,422.18,422.48,415.26,418.74
03/20/2024,417.77,424.04,417.52,419.14
03/21/2024,416.14,417.13,413.25,416.32
03/22/2024,415.23,417.35,413.15,415.84
03/25/2024,415.86,420.38,414.3,417.46
03/26/2024,410.9,415.66,408.17,414.71
03/27/2024,416,417.11,409,409.54
03/28/2024,418.24,419.75,414.97,416.06
04/01/2024,417.63,419.55,414.29,416.54
04/02/2024,422.58,422.82,416.71,417.13
04/03/2024,428.45,428.48,418.81,420.69
04/04/2024,428.21,430.42,425.37,430.3
04/05/2024,431.52,431.85,427.47,428.02
04/08/2024,435.09,435.3,429.13,431.31
04/09/2024,429.83,433.12,428.57,432.11
04/10/2024,433,433.35,426.1,429.17
04/11/2024,434.28,436.46,430.39,433.51
04/12/2024,437.22,439.24,434.22,435.27
04/15/2024,441.23,441.5,436.9,438.69
04/16/2024,435,436.03,430.41,430.81
04/17/2024,440.23,441.85,432.27,435.15
04/18/2024,430.6,433.53,428.22,431.34
04/19/2024,425.83,431.83,425.46,430.59
04/22/2024,423.31,427.37,419.75,427
04/23/2024,415.5,423.99,409.58,423.04
04/24/2024,408.2,416.33,407.7,414.2
04/25/2024,407.24,408.65,402.15,405.72
04/26/2024,409.06,410.65,400.8,401.7
04/29/2024,407.62,413.1,406.13,408.39
04/30/2024,405.91,411.24,404.37,408.9
05/01/2024,417.91,419.88,407.03,409.44
05/02/2024,415.6,417.49,412.13,417.14
05/03/2024,414.94,422.05,410.6,413.12
05/06/2024,414.88,415,407.31,410.6
05/07/2024,412.86,414.36,410.25,413.84
05/08/2024,416.37,417.28,411.34,413.49
05/09/2024,416.98,419.26,412.09,416.79
05/10/2024,424.36,426.79,414.61,415.55
05/13/2024,424.08,426.4,421.72,424.14
05/14/2024,421.7,425.86,421.64,424.8
05/15/2024,418.96,421.75,416.46,421.53
05/16/2024,420.6,421.34,417.3,418.47
05/17/2024,419.8,421.11,417.66,421.03
05/20/2024,414.8,417.72,412.45,416.86
05/21/2024,409.59,414.95,409.57,414.01
05/22/2024,407.06,408.76,404.24,406.81
05/23/2024,404.03,408.05,402.26,406.02
05/24/2024,402.44,405.86,399.94,402.69
05/28/2024,408.64,410.08,397.47,398.43
05/29/2024,400,405.67,398.5,399.61
05/30/2024,389.17,401.04,385.58,395.15
05/31/2024,412.49,415,404.34,408.49
06/03/2024,420.79,427.46,413.09,417.11
06/04/2024,420.5,421.78,412.21,418.35
06/05/2024,427.72,429.05,417.36,422.92
06/06/2024,431.58,432.15,424.7,426.73
06/07/2024,418.2,428.92,417.27,425.27
06/10/2024,428.8,429.8,417.51,418.4
06/11/2024,440.45,441.48,427.59,428.9
06/12/2024,443.9,448.39,443.1,444.85
06/13/2024,441.79,444.6,438.91,442.94
06/14/2024,433.1,441.14,432,437.11
06/17/2024,444.34,444.65,434.4,440.37
06/18/2024,442.59,444.85,439.18,443.52
06/20/2024,454.22,454.3,446.66,449.52
06/21/2024,453.3,457.26,451.43,453.96
06/24/2024,454.33,456.36,450.65,453.55
06/25/2024,462.98,464.78,451.55,454.7
06/26/2024,461.22,466.46,458.86,466.25
06/27/2024,467,467.33,458,459.54
06/28/2024,466.55,467.7,464.46,466.24
07/01/2024,459.61,468.35,458.97,467.56
07/02/2024,458.19,461.02,457.88,460.77
07/03/2024,453.2,459.59,453.11,459.28
07/05/2024,448.66,457.37,445.66,456.73
07/08/2024,453.07,455.38,446.41,446.95
07/09/2024,452.18,456.17,451.77,452.85
07/10/2024,449,453.6,448.19,452.16
07/11/2024,448.25,451.42,446.75,450.95
07/12/2024,449.8,452.75,446.41,447.67
07/15/2024,447.38,450.58,446.51,449.78
07/16/2024,446.3,446.53,441.27,445.7
07/17/2024,449.71,450.14,444.89,446.34
07/18/2024,442.59,450.94,440.72,448.37
07/19/2024,438.28,443.14,436.72,442.57
07/22/2024,440.85,443.39,439.37,441.58
07/23/2024,435.32,443.4,433.25,441.06
07/24/2024,425.48,432.82,425.25,432.68
07/25/2024,424.7,428.08,423.89,427.87
07/26/2024,426.2,426.28,423,423.85
07/29/2024,424.01,425.31,420.58,424.52
07/30/2024,417.81,424.08,416.3,424.01
07/31/2024,412.43,416.44,409.68,416.07
08/01/2024,415.53,416.43,408.92,413.52
08/02/2024,416.75,416.75,404.51,415.13
08/05/2024,424.3,424.3,414.24,414.67
08/06/2024,425.69,430.94,425.69,429.17
08/07/2024,429.63,430.82,426.6,430.32
08/08/2024,427.19,431.06,424.41,430.16
08/09/2024,432.97,433.6,425.42,427
08/12/2024,430.09,432.41,427.13,430.52
08/13/2024,426.83,432.97,424.85,429.04
08/14/2024,420.21,426.77,419.99,425.34
08/15/2024,422.54,422.92,418.03,420.21
08/16/2024,421.8,425.42,420.35,420.99
08/19/2024,417.9,423.81,417.27,423.08
08/20/2024,412.02,417.49,411.55,416.56
08/21/2024,418.01,418.35,410.82,413.72
08/22/2024,412.94,415.38,411.8,414.74
08/23/2024,410.57,412.72,409.1,412.32
08/26/2024,408.17,412.23,406.71,410.54
08/27/2024,414.66,414.67,409.09,409.34
08/28/2024,408.76,413.93,406.37,413.54
08/29/2024,402.28,407.15,401.86,406.66
08/30/2024,397.66,399.93,394.65,397.84
09/03/2024,392.61,401.72,390.31,394.94
09/04/2024,401.49,402.16,389.17,389.33
09/05/2024,405.25,406.32,399.19,402.25
09/06/2024,412.17,413,405.76,406.32
09/09/2024,394.03,399.89,388.03,399.04
09/10/2024,409.56,412.47,406.78,409.06
09/11/2024,404.24,408.2,403.06,407.57
09/12/2024,400.08,402.85,395.75,400.96
09/13/2024,404.03,405.48,397.77,399.12
09/16/2024,410.63,411.89,403.95,404.27
09/17/2024,417.25,418.88,410.33,411.84
09/18/2024,414.57,418.4,413.73,414.58
09/19/2024,426.6,426.82,413.43,413.64
09/20/2024,424.05,425.18,419.77,421.9
09/23/2024,425.82,429.37,422.36,427.93
09/24/2024,422.19,424.03,419.7,423.26
09/25/2024,426.44,427.74,421.62,426.28
09/26/2024,425.17,427.28,423.3,424.59
09/27/2024,420.01,426.51,418.32,425.52
09/30/2024,424.99,428.67,417.57,417.88
10/01/2024,419.73,423.26,419.09,420.45
10/02/2024,420.11,422.38,417.84,421.44
10/03/2024,423.95,427.89,422.22,424.57
10/04/2024,420.96,421.87,419.12,420.72
10/07/2024,424.44,424.45,419.01,421.43
10/08/2024,425.61,425.99,421.35,421.65
10/09/2024,425.24,427.41,421.61,422.86
10/10/2024,429.7,429.86,426.07,428.74
10/11/2024,429.83,430.82,427.16,429.37
10/14/2024,422,425.96,420.66,425.23
10/15/2024,417.83,421.67,415.55,421.41
10/16/2024,414.25,420.73,413.78,417.32
10/17/2024,419.29,422.6,412.79,416.42
10/18/2024,420.24,427.82,417.99,425.22
10/21/2024,418.1,418.18,411.45,415.1
10/22/2024,407.62,415.57,406.79,415.28
10/23/2024,403.76,405.68,401.26,404.52
10/24/2024,407.96,410.42,404.33,406.22
10/25/2024,406.12,409.78,402.24,409.14
10/28/2024,402.97,405.16,398.39,402.09
10/29/2024,413.96,414.25,400.64,402.65
10/30/2024,413.44,417.35,412.32,414.92
10/31/2024,411.27,415.87,410.88,415.5
11/01/2024,408.64,414.2,405.92,413.64
11/04/2024,408.18,409.3,405.32,407.72
11/05/2024,407.99,408.32,403.85,407.48
11/06/2024,411.46,412.16,407.36,407.54
11/07/2024,415.67,415.86,408.97,410.34
11/08/2024,410.19,412.83,408.57,411.65
11/11/2024,400.17,402.29,397.22,402.18
11/12/2024,403.24,404.49,398.01,402.79
11/13/2024,407.96,408.29,403.44,404.06
11/14/2024,408.14,409.13,404.29,406.56
11/15/2024,408.07,409.84,404.57,409.49
11/18/2024,404.94,410.07,403.39,406.32
11/19/2024,420.56,420.74,414.75,415.26
11/20/2024,415.25,420.82,415.09,420.55
11/21/2024,414.05,415.56,412.53,414.11
11/22/2024,407.44,414.3,407.4,414.05
11/25/2024,405.88,407.97,402.91,405.49
11/26/2024,409.9,411.16,403.99,405.65
11/27/2024,403.81,412.65,403.56,411.22
11/29/2024,401.83,408,401.8,403.78
12/02/2024,406.96,415.32,397.21,397.58
12/03/2024,412.26,413.05,406.45,408.59
12/04/2024,406.06,409.98,404.33,409.72
12/05/2024,404.37,406.17,402.43,403.93
12/06/2024,404.32,407.01,402.53,404.87
12/09/2024,401.54,405.63,400.45,402.56
12/10/2024,395.75,399.38,393.93,398.9
12/11/2024,400.02,400.62,393.59,396.51
12/12/2024,395.76,398.67,393.5,398.67
12/13/2024,391.72,393.99,390.12,393.87
12/16/2024,387.98,390.11,384.81,389.47
12/17/2024,393.66,394.03,387.62,390.27
12/18/2024,385.49,388.68,384.65,388.47
12/19/2024,386,390.68,380.38,384.63
12/20/2024,376.37,384.17,376.32,382.77
12/23/2024,372.01,375.99,371.19,375.79
12/24/2024,369.3,375.2,369.01,374.69
12/26/2024,368.97,372.06,366.5,367.75
12/27/2024,370.67,373.1,367.17,367.94
12/30/2024,369.01,373.26,368.51,370.6
12/31/2024,373.86,375.9,366.77,370.87
